Id,Type,Price,Square,Building,Address,Latitude,Longitude,Link
35,супермаркет,250000.0,168.0,жилой дом,"Санкт-Петербург, 1 линия , 18/2",59.9040741,29.714804,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/168m_prohodnoe_u_m.vasileostrovskaya_3233902565
37,супермаркет,100000.0,100.0,жилой дом,"Санкт-Петербург, Уральская ул., 21",59.956105,30.252471,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_100_m_2321064538
38,супермаркет,90000.0,74.0,жилой дом,"Санкт-Петербург, ул. Одоевского, 28",59.9474699,30.2405382057519,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_74_m_2801268257
40,супермаркет,99500.0,118.3,жилой дом,"Санкт-Петербург, Вёсельная ул., 4",59.9285021,30.244799888254956,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_118.3_m_2901104822
41,супермаркет,70300.0,37.0,жилой дом,"Санкт-Петербург, Железноводская ул., 68к2",59.9489665,30.2347027,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_37_m_2873880445
42,супермаркет,35000.0,135.0,жилой дом,"Санкт-Петербург, Морская наб., 21к2",59.9540375,30.2122604,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_135_m_2710290687
43,супермаркет,29900.0,20.0,жилой дом,"Санкт-Петербург, 9 линия , 56",59.906315,29.7141766,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/kabinet_byuti_ili_dr._uslugi_20m_s_vodoy.parkovka_2977367761
45,супермаркет,250000.0,5.0,жилой дом,"Санкт-Петербург, 1 линия , 34",59.9040741,29.714804,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/restoran_na_1_linii_vo_34_1725_m2_2966204275
47,супермаркет,80000.0,10.0,жилой дом,"Санкт-Петербург, Наличная ул., 40к1",59.9490301,30.2323757,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_10_m_1027585351
48,супермаркет,20340.0,11.3,жилой дом,"Санкт-Петербург, 10 линия , 13",59.9057917,29.708048,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/sdam_torgovoe_pomeschenie_11.3_m_3101682275
51,супермаркет,80000.0,82.0,жилой дом,"Санкт-Петербург, 20 линия , 13",59.82469555,30.25472729302649,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_82_m_2697152433
52,супермаркет,150000.0,55.5,жилой дом,"Санкт-Петербург, Уральская ул., 21",59.956105,30.252471,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_55.5_m_2306990390
55,супермаркет,97500.0,150.0,жилой дом,"Санкт-Петербург, проспект КИМа, 28",59.9540153,30.2429149,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_150_m_2894944385
56,супермаркет,21600.0,18.0,жилой дом,"Санкт-Петербург, проспект КИМа, 6",59.950888,30.246385,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_18_m_1299082545
59,супермаркет,17680.0,10.4,жилой дом,"Санкт-Петербург, 10 линия ",59.9057917,29.708048,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/ofisnoe_pomeschenie_10.4_m.kv_2525300244
60,супермаркет,25000.0,32.0,жилой дом,"Санкт-Петербург, 2 линия , 29",59.83037685,30.26139829347052,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/sdam_pomeschenie_svobodnogo_naznacheniya_32_m_2971562586
62,супермаркет,21000.0,21.3,жилой дом,"Санкт-Петербург, 11 линия , 16",59.8270294,30.2576609,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_21.3_m_3170161588
64,супермаркет,40000.0,10.0,жилой дом,"Санкт-Петербург, 26 линия , 7",59.8232153,30.2505007,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_10_m_3092729136
65,супермаркет,250000.0,5.0,жилой дом,"Санкт-Петербург, 1 линия , 34",59.9040741,29.714804,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/restoran_na_1_linii_vo_34_1725_m2_2966204275
66,супермаркет,200000.0,52.0,жилой дом,"Санкт-Петербург, 8 линия , 43",59.9071128,29.7142794,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_52_m_1806511708
67,супермаркет,19900.0,20.0,жилой дом,"Санкт-Петербург, 10 линия , 45",59.9057917,29.708048,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/uslugi_psiholog_byuti_12-20m_s_vodoy._parkovka_2976818849
68,супермаркет,349999.0,170.0,жилой дом,"Санкт-Петербург, Кадетская линия, 25",59.94530725,30.286717438727933,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/arenda_uglovogo_pomesch.170_m_na_srednem_pr-te_v.o_2563159287
69,супермаркет,14000.0,7.0,жилой дом,"Санкт-Петербург, Железноводская ул., 68Б",59.9516718,30.2461871,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7_m_2650160651
71,супермаркет,150000.0,60.0,жилой дом,"Санкт-Петербург, ул. Челюскина, 4",59.9409524,30.193543,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/kafe_obschepit_torgovlya_60_m-_160_m2_2335194554
72,супермаркет,500000.0,10.0,жилой дом,"Санкт-Петербург, 6 линия , 55",59.9079611,29.7053011,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_10_m_1926182006
73,супермаркет,70300.0,37.0,жилой дом,"Санкт-Петербург, Железноводская ул., 68к2",59.9489665,30.2347027,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_37_m_2873880445
